"genus","species","authority","year","higherTaxonomy"
"Ablepharus","alaicus","ELPATJEVSKY","1901","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","anatolicus","SCHMIDTLER","1997","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","bivittatus","MENETRIES","1832","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","budaki","GOCMEN KUMLUTAS & TOSUNOGLU","1996","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","chernovi","DAREVSKY","1953","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","darvazi","EREMCHENKO & PANFILOV","1990","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","deserti","STRAUCH","1868","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","eremchenkoi","PANFILOV","1999","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","grayanus","STOLICZKA","1872","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","himalayanus","GUNTHER","1864","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","kitaibelii","BIBRON & BORY ST-VINCENT","1833","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","ladacensis","GUNTHER","1864","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","lindbergi","WETTSTEIN","1960","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","mahabharatus","EREMCHENKO SHAH & PANFILOV","1998","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","nepalensis","EREMCHENKO & HELFENBERGER","1998","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","pannonicus","LICHTENSTEIN","1823","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","rueppellii","GRAY","1839","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","sikimmensis","BLYTH","1854","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","tragbulensis","ALCOCK","1898","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Abronia","antauges","COPE","1866","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","anzuetoi","CAMPBELL & FROST","1993","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","aurita","COPE","1869","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","bogerti","TIHEN","1954","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","campbelli","BRODIE & SAVAGE","1993","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","chiszari","SMITH & SMITH","1981","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","cuchumatanus","SOLANO-ZAVALETA NIETO-MONTES DE OCA & CAMPBELL","2016","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","cuetzpali","CAMPBELL SOLANO-ZAVALETA FLORES-VILLELA CAVIEDES-SOLIS & FROST","2016","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","cunemica","CLAUSE LUNA-REYES MENDOZA-VELAZQUEZ NIETO-MONTES DE OCA & SOLANO-ZAVALETA","2024","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","deppii","WIEGMANN","1828","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","fimbriata","COPE","1885","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","frosti","CAMPBELL SASA ACEVEDO & MENDELSON","1998","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","fuscolabialis","TIHEN","1944","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","gadovii","BOULENGER","1913","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","gaiophantasma","CAMPBELL & FROST","1993","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","graminea","COPE","1864","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","juarezi","KARGES & WRIGHT","1987","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","leurolepis","CAMPBELL & FROST","1993","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","lythrochila","SMITH & ALVAREZ DEL TORO","1963","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","martindelcampoi","FLORES-VILLELA & SANCHEZ-H.","2003","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","matudai","HARTWEG & TIHEN","1946","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","meledona","CAMPBELL & BRODIE","1999","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","mitchelli","CAMPBELL","1982","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","mixteca","BOGERT & PORTER","1967","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","montecristoi","HIDALGO","1983","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","monticola","COPE","1878","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","moreletii","BOCOURT","1872","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","morenica","CLAUSE LUNA-REYES & NIETO-MONTES DE OCA","2020","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","oaxacae","GUNTHER","1885","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","ochoterenai","MARTIN DEL CAMPO","1939","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","ornelasi","CAMPBELL","1984","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","ramirezi","CAMPBELL","1994","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","reidi","WERLER & SHANNON","1961","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","salvadorensis","HIDALGO","1983","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","smithi","CAMPBELL & FROST","1993","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","taeniata","WIEGMANN","1828","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","vasconcelosii","BOCOURT","1872","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","viridiflava","BOCOURT","1873","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","zongolica","GARCIA-VAZQUEZ CLAUSE GUTIERREZ- RODRIGUEZ CAZARES-HERNANDEZ & TORRE-LORANCA","2022","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Acanthocercus","adramitanus","ANDERSON","1896","Agamidae (Agaminae), Iguania"
"Acanthocercus","annectans","BLANFORD","1870","Agamidae (Agaminae), Iguania"
"Acanthocercus","atricollis","SMITH","1849","Agamidae (Agaminae), Iguania"
"Acanthocercus","branchi","WAGNER GREENBAUM & BAUER","2012","Agamidae (Agaminae), Iguania"
"Acanthocercus","ceriacoi","MARQUES PARRINHA SANTOS BANDEIRA BUTLER SOUSA BAUER & WAGNER","2022","Agamidae (Agaminae), Iguania"
"Acanthocercus","cyanocephalus","FALK","1925","Agamidae (Agaminae), Iguania"
"Acanthocercus","cyanogaster","RUPPELL","1835","Agamidae (Agaminae), Iguania"
"Acanthocercus","gregorii","GUNTHER","1894","Agamidae (Agaminae), Iguania"
"Acanthocercus","guentherpetersi","LARGEN & SPAWLS","2006","Agamidae (Agaminae), Iguania"
"Acanthocercus","kiwuensis","KLAUSEWITZ","1957","Agamidae (Agaminae), Iguania"
"Acanthocercus","margaritae","WAGNER BUTLER CERIACO & BAUER","2021","Agamidae (Agaminae), Iguania"
"Acanthocercus","minutus","KLAUSEWITZ","1957","Agamidae (Agaminae), Iguania"
"Acanthocercus","phillipsii","BOULENGER","1895","Agamidae (Agaminae), Iguania"
"Acanthocercus","ugandaensis","KLAUSEWITZ","1957","Agamidae (Agaminae), Iguania"
"Acanthocercus","yemensis","KLAUSEWITZ","1954","Agamidae (Agaminae), Iguania"
"Acanthodactylus","aegyptius","BAHA EL DIN","2007","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","ahmaddisii","WERNER","2004","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","arabicus","BOULENGER","1919","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","aureus","GUNTHER","1903","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","bedriagai","LATASTE","1881","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","beershebensis","MORAVEC EL DIN SELIGMANN SIVAN & WERNER","1999","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","blanci","DOUMERGUE","1901","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","blanfordii","BOULENGER","1919","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","boskianus","DAUDIN","1802","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","boueti","CHABANAUD","1917","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","busacki","SALVADOR","1982","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","cantoris","GUNTHER","1864","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","dumerilii","MILNE-EDWARDS","1829","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","erythrurus","SCHINZ","1833","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","felicis","ARNOLD","1980","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","gongrorhynchatus","LEVITON & ANDERSON","1967","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","grandis","BOULENGER","1909","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","guineensis","BOULENGER","1887","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","haasi","LEVITON & ANDERSON","1967","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","hardyi","HAAS","1957","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","harranensis","BARAN KUMLUTAS LANZA SINDACO AVCI & CRUCITTI","2005","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","ilgazi","KURNAZ & SAHIN","2021","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","khamirensis","HEIDARI RASTEGAR-POUYANI RASTEGAR-POUYANI & RAJABIZADEH","2013","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","lacrymae","MIRALLES GENIEZ BEDDEK MENDEZ-ARANDA BRITO LEBLOIS & CROCHET","2020","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","longipes","BOULENGER","1918","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","maculatus","GRAY","1838","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","margaritae","TAMAR GENIEZ BRITO & CROCHET","2017","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","masirae","ARNOLD","1980","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","micropholis","BLANFORD","1874","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","montanus","MIRALLES GENIEZ BEDDEK MENDEZ-ARANDA BRITO LEBLOIS & CROCHET","2020","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","nilsoni","RASTEGAR-POUYANI","1998","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","opheodurus","ARNOLD","1980","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","orientalis","ANGEL","1936","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","pardalis","LICHTENSTEIN","1823","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","robustus","WERNER","1929","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","savignyi","AUDOUIN","1827","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","schmidti","HAAS","1957","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","schreiberi","BOULENGER","1878","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","scutellatus","AUDOUIN","1827","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","spinicauda","DOUMERGUE","1901","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","taghitensis","GENIEZ & FOUCART","1995","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","tilburyi","ARNOLD","1986","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","tristrami","GUNTHER","1864","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","yemenicus","SALVADOR","1982","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthodactylus","zagrosicus","MOZAFFARI MOHAMMADI SABERI-PIROOZ & AHMADZADEH","2021","Lacertidae, Eremiadinae, Lacertoidea"
"Acanthophis","antarcticus","SHAW","1802","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acanthophis","cryptamydros","MADDOCK ELLIS DOUGHTY SMITH & WUSTER","2015","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acanthophis","hawkei","WELLS & WELLINGTON","1985","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acanthophis","laevis","MACLEAY","1877","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acanthophis","praelongus","RAMSAY","1877","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acanthophis","pyrrhus","BOULENGER","1898","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acanthophis","rugosus","LOVERIDGE","1948","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acanthophis","wellsi","HOSER","1998","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acanthosaura","armata","GRAY","1827","Agamidae (Draconinae), Iguania"
"Acanthosaura","aurantiacrista","TRIVALAIRAT KUNYA CHANHOME SUMONTHA VASARUCHAPONG CHOMNGAM & CHIANGKUL","2020","Agamidae (Draconinae), Iguania"
"Acanthosaura","bintangensis","WOOD GRISMER GRISMER AHMAD ONN & BAUER","2009","Agamidae (Draconinae), Iguania"
"Acanthosaura","brachypoda","ANANJEVA ORLOV NGUYEN & RYABOV","2011","Agamidae (Draconinae), Iguania"
"Acanthosaura","capra","GUNTHER","1861","Agamidae (Draconinae), Iguania"
"Acanthosaura","cardamomensis","WOOD GRISMER GRISMER NEANG CHAV & HOLDEN","2010","Agamidae (Draconinae), Iguania"
"Acanthosaura","coronata","GUNTHER","1861","Agamidae (Draconinae), Iguania"
"Acanthosaura","crucigera","BOULENGER","1885","Agamidae (Draconinae), Iguania"
"Acanthosaura","lepidogaster","CUVIER","1829","Agamidae (Draconinae), Iguania"
"Acanthosaura","liui","LIU HOU MO & RAO","2020","Agamidae (Draconinae), Iguania"
"Acanthosaura","longicaudata","LIU RAO HOU ORLOV ANANJEVA & ZHANG","2022","Agamidae (Draconinae), Iguania"
"Acanthosaura","meridiona","TRIVALAIRAT SUMONTHA KUNYA & CHIANGKUL","2022","Agamidae (Draconinae), Iguania"
"Acanthosaura","murphyi","NGUYEN DO HOANG NGUYEN MCCORMACK NGUYEN ORLOV NGUYEN & NGUYEN","2018","Agamidae (Draconinae), Iguania"
"Acanthosaura","nataliae","ORLOV TRUONG & SANG","2006","Agamidae (Draconinae), Iguania"
"Acanthosaura","phongdienensis","NGUYEN JIN VO NGUYEN ZHOU CHE MURPHY & ZHANG","2019","Agamidae (Draconinae), Iguania"
"Acanthosaura","phuketensis","PAUWELS SUMONTHA KUNYA NITIKUL SAMPHANTHAMIT WOOD & GRISMER","2015","Agamidae (Draconinae), Iguania"
"Acanthosaura","prasina","ANANJEVA ERMAKOV NGUYEN NGUYEN MURPHY LUKONINA & ORLOV","2020","Agamidae (Draconinae), Iguania"
"Acanthosaura","rubrilabris","LIU RAO HOU ORLOV ANANJEVA & ZHANG","2022","Agamidae (Draconinae), Iguania"
"Acanthosaura","titiwangsaensis","WOOD GRISMER GRISMER AHMAD ONN & BAUER","2009","Agamidae (Draconinae), Iguania"
"Acanthosaura","tongbiguanensis","LIU & RAO","2019","Agamidae (Draconinae), Iguania"
"Achalinus","ater","BOURRET","1937","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","dabieshanensis","ZHANG LIU HUANG HU YU SUN ZHANG WEN & ZHANG","2023","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","damingensis","XU YANG WU GONG HUANG & HUANG","2023","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","dehuaensis","LI WU XU ZHU REN GUO & DONG","2021","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","emilyae","ZIEGLER NGUYEN PHAM NGUYEN PHAM VAN SCHINGEN NGUYEN & LE","2019","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","formosanus","BOULENGER","1908","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","hainanus","HUANG","1975","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","huangjietangi","HUANG PENG & HUANG","2021","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","hunanensis","MA SHI XIANG SHU & JIANG","2023","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","jinggangensis","ZONG & MA","1983","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","juliani","ZIEGLER NGUYEN PHAM NGUYEN PHAM VAN SCHINGEN NGUYEN & LE","2019","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","meiguensis","HU & ZHAO","1966","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","nanshanensis","LI ZHU XIAO WU YANG ZHANG & MO","2024","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","niger","MAKI","1931","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","ningshanensis","YANG HUANG JIANG BURBRINK GONG YU ZHANG HUANG & HUANG","2022","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","panzhihuaensis","HOU WANG GUO CHEN YUAN & CHE","2021","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","pingbianensis","LI YU WU LIAO TANG LIU & GUO","2020","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","quangi","PHAM PHAM LE NGO ONG ZIEGLER & NGUYEN","2023","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","rufescens","BOULENGER","1888","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","sheni","MA XU QI WANG TANG HUANG & JIANG","2023","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","spinalis","PETERS","1869","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","timi","ZIEGLER NGUYEN PHAM NGUYEN PHAM VAN SCHINGEN NGUYEN & LE","2019","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","tranganensis","LUU ZIEGLER HA LO HOANG NGO LE TRAN & NGUYEN","2020","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","vanhoensis","HA ZIEGLER SY LE NGUYEN & LUU","2022","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","werneri","VAN DENBURGH","1912","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","yangdatongi","HOU WANG GUO CHEN YUAN & CHE","2021","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","yunkaiensis","WANG LI & WANG","2019","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Achalinus","zugorum","MILLER DAVIS LUONG DO PHAM ZIEGLER LEE DE QUEIROZ REYNOLDS & NGUYEN","2020","Xenodermidae, Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Acontias","albigularis","CONRADIE BUSSCHAU & EDWARDS","2018","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","aurantiacus","PETERS","1854","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","bicolor","HEWITT","1929","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","breviceps","ESSEX","1925","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","cregoi","BOULENGER","1903","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","fitzsimonsi","BROADLEY","1968","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","gariepensis","FITZSIMONS","1941","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","gracilicauda","ESSEX","1925","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","jappi","BROADLEY","1968","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","kgalagadi","LAMB BISWAS & BAUER","2010","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","lineatus","PETERS","1879","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","meleagris","LINNAEUS","1758","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","mukwando","MARQUES PARRINHA TIUTENKO LOPES-LIMA BAUER & CERIACO","2023","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","namaquensis","HEWITT","1937","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","occidentalis","FITZSIMONS","1941","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","orientalis","HEWITT","1937","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","parietalis","BROADLEY","1990","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","percivali","LOVERIDGE","1935","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","plumbeus","BIANCONI","1849","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","richardi","JACOBSEN","1987","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","rieppeli","LAMB BISWAS & BAUER","2010","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","schmitzi","WAGNER BROADLEY & BAUER","2012","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","subtaeniatus","BROADLEY","1968","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acontias","wakkerstroomensis","CONRADIE BUSSCHAU & EDWARDS","2018","Scincidae, Acontiinae (Acontidae), Scincoidea"
"Acrantophis","dumerili","JAN","1860","Boidae (Sanziniinae, Sanziniidae), Henophidia, Alethinophidia, Serpentes"
"Acrantophis","madagascariensis","DUMERIL & BIBRON","1844","Boidae (Sanziniinae, Sanziniidae), Henophidia, Alethinophidia, Serpentes"
"Acratosaura","mentalis","AMARAL","1933","Gymnophthalmidae (Gymnophthalminae), Iphisini, Gymnophthalmoidea"
"Acratosaura","spinosa","RODRIGUES CASSIMIRO DE FREITAS & SANTOS SILVA","2009","Gymnophthalmidae (Gymnophthalminae), Iphisini, Gymnophthalmoidea"
"Acritoscincus","duperreyi","GRAY","1839","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Acritoscincus","platynotus","PETERS","1881","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Acritoscincus","trilineatus","GRAY","1838","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Acrochordus","arafurae","MCDOWELL","1979","Acrochordidae, Caenophidia, Alethinophidia, Serpentes"
"Acrochordus","granulatus","SCHNEIDER","1799","Acrochordidae, Caenophidia, Alethinophidia, Serpentes"
"Acrochordus","javanicus","HORNSTEDT","1787","Acrochordidae, Caenophidia, Alethinophidia, Serpentes"
"Acutotyphlops","banaorum","WALLACH BROWN DIESMOS & GEE","2007","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes"
"Acutotyphlops","infralabialis","WAITE","1918","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes"
"Acutotyphlops","kunuaensis","WALLACH","1995","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes"
"Acutotyphlops","solomonis","PARKER","1939","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes"
"Acutotyphlops","subocularis","WAITE","1897","Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes"
"Adelphicos","daryi","CAMPBELL & FORD","1982","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphicos","ibarrorum","CAMPBELL & BRODIE","1988","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphicos","latifasciatum","LYNCH & SMITH","1966","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphicos","newmanorum","TAYLOR","1950","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphicos","nigrilatum","SMITH","1942","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphicos","quadrivirgatum","JAN","1862","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphicos","sargii","FISCHER","1885","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphicos","veraepacis","STUART","1941","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphicos","visoninum","COPE","1866","Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphostigma","occipitalis","JAN","1863","Colubridae (Dipsadinae, Echinantherini), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adelphostigma","quadriocellata","SANTOS DI-BERNARDO & DE LEMA","2008","Colubridae (Dipsadinae, Echinantherini), Colubroidea, Caenophidia, Alethinophidia, Serpentes"
"Adercosaurus","vixadnexus","MYERS & DONNELLY","2001","Gymnophthalmidae (Ecpleopodinae), Gymnophthalmoidea"
"Adolfus","africanus","BOULENGER","1906","Lacertidae, Eremiadinae, Lacertoidea"
"Adolfus","alleni","BARBOUR","1914","Lacertidae, Eremiadinae, Lacertoidea"
"Adolfus","jacksoni","BOULENGER","1899","Lacertidae, Eremiadinae, Lacertoidea"
"Adolfus","kibonotensis","LONNBERG","1907","Lacertidae, Eremiadinae, Lacertoidea"
"Adolfus","masavaensis","WAGNER GREENBAUM & BRANCH","2014","Lacertidae, Eremiadinae, Lacertoidea"
"Adolfus","mathewsensis","GREENBAUM DOWELL-BEER HUGHES WAGNER ANDERSON VILLANUEVA MALONZA KUSAMBA ARISTOTE & BRANCH","2018","Lacertidae, Eremiadinae, Lacertoidea"
"Advenus","montisilvestris","MYERS","1973","Diploglossidae, Diploglossa, Anguimorpha"
